Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	CP008822_1065	513	284	8.2e-09	32.5	956418	957956	CP008822	1065	0.2787524366471735	0.3591549295774648	1
AbiEii_0_CAS-III	CP008822_1081	331	284	0.0027	14.4	977603	978595	CP008822	1081	0.3867069486404834	0.4295774647887324	1
AbiEii_0_CAS-III	CP008822_1082	311	284	2.1e-05	21.4	978576	979508	CP008822	1082	0.3729903536977492	0.38380281690140844	1
AbiEii_0_CAS-III	CP008822_1102	282	284	1.5e-06	25.1	998307	999152	CP008822	1102	0.6312056737588653	0.4647887323943662	1
AbiEii_0_CAS-III	CP008822_1137	412	284	0.00038	17.2	1029577	1030812	CP008822	1137	0.10436893203883495	0.14788732394366197	1
AbiEii_0_CAS-III	CP008822_1167	341	284	0.0003	17.6	1061379	1062401	CP008822	1167	0.25219941348973607	0.29577464788732394	-1
AbiEii_0_CAS-III	CP008822_1169	359	284	3.1e-07	27.4	1063175	1064251	CP008822	1169	0.8495821727019499	0.8380281690140845	-1
AbiEii_0_CAS-III	CP008822_118	181	284	0.0035	14.0	97413	97955	CP008822	118	0.17679558011049723	0.11267605633802817	1
AbiEii_0_CAS-III	CP008822_1232	313	284	0.00033	17.4	1150005	1150943	CP008822	1232	0.2779552715654952	0.3204225352112676	-1
AbiEii_0_CAS-III	CP008822_1299	237	284	2.4e-06	24.4	1211972	1212682	CP008822	1299	0.510548523206751	0.43661971830985913	1
AbiEii_0_CAS-III	CP008822_1301	360	284	9.4e-17	58.6	1214323	1215402	CP008822	1301	0.39166666666666666	0.49295774647887325	1
AbiEii_0_CAS-III	CP008822_1353	325	284	0.00067	16.4	1262378	1263352	CP008822	1353	0.28307692307692306	0.3415492957746479	-1
AbiEii_0_CAS-III	CP008822_1607	225	284	8.8e-06	22.6	1493231	1493905	CP008822	1607	0.5511111111111111	0.43661971830985913	1
AbiEii_0_CAS-III	CP008822_1693	202	284	2e-05	21.4	1559834	1560439	CP008822	1693	0.30198019801980197	0.20774647887323944	-1
AbiEii_0_CAS-III	CP008822_1711	374	284	0.0058	13.3	1573412	1574533	CP008822	1711	0.09090909090909091	0.11971830985915492	1
AbiEii_0_CAS-III	CP008822_1739	249	284	0.00016	18.4	1601567	1602313	CP008822	1739	0.20080321285140562	0.1795774647887324	-1
AbiEii_0_CAS-III	CP008822_183	368	284	2.4e-06	24.4	143957	145060	CP008822	183	0.44565217391304346	0.3732394366197183	1
AbiEii_0_CAS-III	CP008822_2144	444	284	0.00065	16.4	1971057	1972388	CP008822	2144	0.08108108108108109	0.13028169014084506	-1
AbiEii_0_CAS-III	CP008822_215	749	284	2.3e-05	21.2	171281	173527	CP008822	215	0.06408544726301736	0.09507042253521127	1
AbiEii_0_CAS-III	CP008822_2168	495	284	9.5e-05	19.2	1990360	1991844	CP008822	2168	0.22626262626262628	0.36619718309859156	1
AbiEii_0_CAS-III	CP008822_2305	454	284	0.02	11.6	2116948	2118309	CP008822	2305	0.15418502202643172	0.24295774647887325	1
AbiEii_0_CAS-III	CP008822_2306	417	284	6e-06	23.1	2118306	2119556	CP008822	2306	0.5323741007194245	0.8450704225352113	1
