Contig	Start	End	Strand	Pos
JALVPN010000001	3	509	-1	1
JALVPN010000001	772	1746	1	2
JALVPN010000001	1903	2592	-1	3
JALVPN010000002	2	859	1	1
JALVPN010000002	843	1931	-1	2
JALVPN010000002	2150	2584	1	3
JALVPN010000003	1	1083	-1	1
JALVPN010000003	1058	2392	-1	2
JALVPN010000003	2402	4168	-1	3
JALVPN010000003	4178	5500	-1	4
JALVPN010000003	6016	6711	1	5
JALVPN010000003	6807	8573	1	6
JALVPN010000003	8633	8998	-1	7
JALVPN010000003	9093	10208	-1	8
JALVPN010000003	10210	11016	-1	9
JALVPN010000003	11054	12166	-1	10
JALVPN010000003	12176	14278	-1	11
JALVPN010000003	15167	15523	1	12
JALVPN010000003	15674	16030	1	13
JALVPN010000003	16269	16793	1	14
JALVPN010000003	17128	18321	1	15
JALVPN010000003	18318	18932	-1	16
JALVPN010000003	18932	19375	-1	17
JALVPN010000003	19417	19956	-1	18
JALVPN010000003	20544	21071	-1	19
JALVPN010000003	21197	21646	1	20
JALVPN010000004	1	318	1	1
JALVPN010000004	447	878	1	2
JALVPN010000004	1267	1995	1	3
JALVPN010000004	2010	2564	1	4
JALVPN010000005	1	492	-1	1
JALVPN010000005	502	1680	-1	2
JALVPN010000005	1680	1955	-1	3
JALVPN010000005	2150	2341	-1	4
JALVPN010000006	147	602	1	1
JALVPN010000006	1058	1942	-1	2
JALVPN010000006	1954	2391	-1	3
JALVPN010000006	2391	3083	-1	4
JALVPN010000006	3149	3388	-1	5
JALVPN010000006	3400	6105	-1	6
JALVPN010000006	6384	7400	-1	7
JALVPN010000006	7400	9448	-1	8
JALVPN010000006	9442	10548	-1	9
JALVPN010000006	11139	12872	1	10
JALVPN010000006	12829	13290	1	11
JALVPN010000006	14089	14268	-1	12
JALVPN010000006	14345	15460	-1	13
JALVPN010000006	15442	16362	-1	14
JALVPN010000006	16359	17411	-1	15
JALVPN010000006	18149	20242	1	16
JALVPN010000006	20420	21499	1	17
JALVPN010000007	1	765	-1	1
JALVPN010000007	925	1137	1	2
JALVPN010000007	1066	1602	-1	3
JALVPN010000007	1948	2961	-1	4
JALVPN010000007	3123	4151	-1	5
JALVPN010000007	4148	4822	-1	6
JALVPN010000007	4842	5798	-1	7
JALVPN010000007	5822	6910	-1	8
JALVPN010000007	7165	8013	-1	9
JALVPN010000007	8047	8547	-1	10
JALVPN010000007	8567	9691	-1	11
JALVPN010000007	9810	10217	-1	12
JALVPN010000007	10252	12069	-1	13
JALVPN010000007	12211	13809	1	14
JALVPN010000007	13983	15452	-1	15
JALVPN010000007	15853	18600	1	16
JALVPN010000007	18917	19870	1	17
JALVPN010000007	20285	21286	-1	18
JALVPN010000008	113	571	-1	1
JALVPN010000008	691	1281	-1	2
JALVPN010000008	1622	2356	1	3
JALVPN010000008	2403	3335	-1	4
JALVPN010000008	3464	3676	1	5
JALVPN010000008	3634	4155	-1	6
JALVPN010000008	4246	4533	-1	7
JALVPN010000008	4530	5336	-1	8
JALVPN010000008	5801	7246	-1	9
JALVPN010000008	7300	7698	-1	10
JALVPN010000009	115	1095	1	1
JALVPN010000009	1101	1583	1	2
JALVPN010000009	1731	1949	1	3
JALVPN010000009	2018	2923	1	4
JALVPN010000009	3030	4934	-1	5
JALVPN010000009	4952	5356	-1	6
JALVPN010000009	5559	5954	1	7
JALVPN010000009	6188	7405	-1	8
JALVPN010000009	7433	7615	1	9
JALVPN010000010	181	882	1	1
JALVPN010000010	879	1937	-1	2
JALVPN010000010	2136	2477	-1	3
JALVPN010000011	76	624	1	1
JALVPN010000011	815	1324	1	2
