Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
JALVPN010000109	JALVPN010000109@1	2890	6321	False	0%	NA	III-B	1.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'CorA_1_CAS-III-B']	[7, 10]	['8.20e-06', '3.20e-04']	[0.667, 0.308]	[0.483, 0.496]	NA	NA
JALVPN010000040	JALVPN010000040@1	30078	32033	False	20%	NA	IV-A1	2.0	['Csf4_0_IVA']	[33]	['7.30e-09']	[0.62]	[0.616]	1	NA
JALVPN010000165	JALVPN010000165@6	74847	75809	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[84]	['4.10e-10']	[0.393]	[0.415]	NA	NA
JALVPN010000170	JALVPN010000170@1	7682	8836	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[9]	['2.30e-05']	[0.395]	[0.462]	-1	NA
JALVPN010000180	JALVPN010000180@1	1487	1795	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['1.00e-05']	[0.777]	[0.669]	NA	NA
JALVPN010000130	JALVPN010000130@1	1382	2068	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['3.90e-04']	[0.45]	[0.345]	NA	NA
JALVPN010000061	JALVPN010000061@1	4097	4804	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['5.90e-04']	[0.419]	[0.313]	NA	NA
JALVPN010000067	JALVPN010000067@1	19579	23860	False	0%	NA	III-A	1.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'TPR_1_CAS-III-A']	[12, 15]	['7.50e-10', '3.70e-04']	[0.614, 0.522]	[0.78, 0.42]	NA	NA
JALVPN010000127	JALVPN010000127@1	6488	6952	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[9]	['4.50e-03']	[0.31]	[0.441]	NA	NA
JALVPN010000136	JALVPN010000136@2	5416	6744	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[6]	['1.10e-08']	[0.354]	[0.496]	NA	NA
JALVPN010000040	JALVPN010000040@4	107103	108122	False	0%	0%	I-C	1.0	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[111]	['2.70e-08']	[0.553]	[0.378]	NA	NA
JALVPN010000096	JALVPN010000096@1	2665	4808	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[4, 5]	['4.30e-11', '6.80e-11']	[0.382, 0.829]	[0.472, 0.78]	NA	NA
JALVPN010000190	JALVPN010000190@1	20189	20626	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[23]	['4.10e-07']	[0.548]	[0.409]	NA	NA
JALVPN010000078	JALVPN010000078@1	2667	5430	False	0%	33%	I-A	2.0	['AbiEii_0_CAS-III', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[4, 7]	['7.40e-09', '7.00e-03']	[0.394, 0.677]	[0.405, 0.557]	NA	-1
JALVPN010000073	JALVPN010000073@1	1524	1796	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['2.40e-03']	[0.473]	[0.415]	NA	NA
JALVPN010000031	JALVPN010000031@1	43997	44866	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[46]	['8.50e-16']	[0.717]	[0.344]	NA	NA
JALVPN010000174	JALVPN010000174@1	24421	25128	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[27]	['1.90e-10']	[0.572]	[0.619]	NA	NA
JALVPN010000165	JALVPN010000165@4	35963	36682	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[41]	['2.20e-10']	[0.412]	[0.797]	NA	NA
JALVPN010000161	JALVPN010000161@1	7888	8337	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[7]	['1.50e-05']	[0.307]	[0.432]	NA	NA
JALVPN010000165	JALVPN010000165@2	16322	17008	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[23]	['6.50e-05']	[0.629]	[0.479]	NA	NA
JALVPN010000159	JALVPN010000159@1	1611	3185	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3]	['8.40e-10']	[0.366]	[0.328]	NA	NA
JALVPN010000130	JALVPN010000130@2	7460	8098	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[10]	['3.50e-03']	[0.324]	[0.458]	NA	NA
JALVPN010000110	JALVPN010000110@1	862	2631	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[2]	['2.60e-17']	[0.322]	[0.743]	NA	NA
JALVPN010000149	JALVPN010000149@1	830	1480	False	14%	0%	I-A	1.0	['Cas3_1_I']	[2]	['9.60e-03']	[0.502]	[0.528]	1	NA
JALVPN010000165	JALVPN010000165@5	69150	69614	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[78]	['7.40e-04']	[0.374]	[0.578]	NA	NA
