Contig	Start	End	Strand	Pos
DSGI01000001	2	631	-1	1
DSGI01000001	958	1185	1	2
DSGI01000001	1372	2103	1	3
DSGI01000001	2635	2871	-1	4
DSGI01000001	2940	3728	-1	5
DSGI01000001	3786	4034	1	6
DSGI01000001	4065	4349	1	7
DSGI01000001	4514	4900	1	8
DSGI01000001	4882	5232	1	9
DSGI01000001	5345	5563	-1	10
DSGI01000001	5699	6133	-1	11
DSGI01000001	6130	6357	-1	12
DSGI01000001	6576	7004	-1	13
DSGI01000002	2	433	-1	1
DSGI01000002	925	1755	1	2
DSGI01000002	1766	2596	-1	3
DSGI01000002	2694	4040	-1	4
DSGI01000002	4147	5046	1	5
DSGI01000002	5253	6032	-1	6
DSGI01000002	6069	6443	-1	7
DSGI01000002	6446	7141	1	8
DSGI01000002	7259	8653	1	9
DSGI01000002	8953	9114	1	10
DSGI01000002	9115	9714	-1	11
DSGI01000002	9728	10606	-1	12
DSGI01000002	10734	12023	-1	13
DSGI01000002	12207	12707	-1	14
DSGI01000002	12899	14332	1	15
DSGI01000002	14319	15311	-1	16
DSGI01000002	15308	15736	-1	17
DSGI01000002	15895	16659	1	18
DSGI01000003	3	4304	1	1
DSGI01000004	2	844	-1	1
DSGI01000004	1075	3603	-1	2
DSGI01000004	3706	4248	-1	3
DSGI01000004	4280	6196	-1	4
DSGI01000004	6487	6930	1	5
DSGI01000005	14	1729	-1	1
DSGI01000005	1934	2896	-1	2
DSGI01000005	2902	3894	-1	3
DSGI01000005	3875	4762	-1	4
DSGI01000005	4766	5788	-1	5
DSGI01000005	5872	6618	1	6
DSGI01000005	6636	8081	1	7
DSGI01000006	2	88	-1	1
DSGI01000006	30	263	-1	2
DSGI01000006	343	624	1	3
DSGI01000006	627	1994	1	4
DSGI01000006	1996	2313	1	5
DSGI01000006	2314	3303	1	6
DSGI01000006	3266	4276	-1	7
DSGI01000006	4386	6419	1	8
DSGI01000006	6416	7525	1	9
DSGI01000006	7550	7978	1	10
DSGI01000007	1	357	1	1
DSGI01000007	346	1251	-1	2
DSGI01000007	1282	1653	-1	3
DSGI01000007	1884	2399	1	4
DSGI01000007	2430	4694	-1	5
DSGI01000007	4916	8776	-1	6
DSGI01000007	9183	9395	1	7
DSGI01000008	3	2393	-1	1
DSGI01000008	2704	3501	-1	2
DSGI01000008	3603	4070	1	3
DSGI01000008	4078	4497	-1	4
DSGI01000008	4507	5217	-1	5
DSGI01000009	312	1250	1	1
DSGI01000009	1247	2431	-1	2
DSGI01000009	2716	4065	1	3
DSGI01000009	4077	5201	1	4
DSGI01000009	5204	6367	1	5
DSGI01000009	6422	6787	-1	6
DSGI01000009	6880	10140	1	7
DSGI01000009	10126	11043	-1	8
DSGI01000010	3	851	1	1
DSGI01000010	963	2456	1	2
DSGI01000010	2449	3441	1	3
DSGI01000010	3438	4346	1	4
DSGI01000010	4378	5109	1	5
DSGI01000010	5106	5528	1	6
DSGI01000010	5562	5828	1	7
DSGI01000010	5871	6422	1	8
DSGI01000010	6484	7656	-1	9
DSGI01000010	7723	8418	1	10
DSGI01000010	8405	9166	-1	11
DSGI01000010	9171	10565	-1	12
DSGI01000010	10529	11968	-1	13
DSGI01000010	11956	12897	-1	14
DSGI01000010	12882	13583	-1	15
DSGI01000010	13576	14244	-1	16
DSGI01000010	14283	14717	-1	17
DSGI01000010	14791	15603	1	18
DSGI01000010	15604	16248	1	19
DSGI01000010	16252	16992	1	20
DSGI01000010	16979	17617	1	21
DSGI01000010	17614	18768	-1	22
DSGI01000010	18968	19726	-1	23
DSGI01000010	19936	20499	1	24
DSGI01000010	20500	21279	1	25
DSGI01000010	21316	22359	-1	26
DSGI01000010	22469	22585	1	27
DSGI01000010	22623	22832	1	28
DSGI01000010	22901	23368	1	29
DSGI01000010	23381	24199	-1	30
DSGI01000010	24229	24375	-1	31
DSGI01000011	3	260	1	1
DSGI01000011	272	526	1	2
DSGI01000011	712	939	1	3
DSGI01000011	945	1250	1	4
DSGI01000011	1234	1488	1	5
DSGI01000011	1753	1923	-1	6
DSGI01000012	1	81	1	1
DSGI01000012	71	1111	1	2
DSGI01000012	1515	1907	1	3
DSGI01000012	1911	2726	-1	4
DSGI01000012	2798	3367	1	5
DSGI01000012	3357	4421	-1	6
DSGI01000012	4795	5646	1	7
DSGI01000012	5761	6279	1	8
DSGI01000012	6286	7593	1	9
DSGI01000012	7752	9644	1	10
DSGI01000012	9647	10249	1	11
DSGI01000012	10254	12029	1	12
DSGI01000012	12026	12694	1	13
DSGI01000012	12675	12866	-1	14
DSGI01000012	12820	13638	-1	15
DSGI01000012	13852	14550	1	16
DSGI01000012	14547	16226	-1	17
DSGI01000012	16285	16740	1	18
DSGI01000012	16729	17148	-1	19
DSGI01000012	17225	18112	1	20
DSGI01000012	18232	18585	1	21
DSGI01000012	18590	19153	1	22
DSGI01000012	19159	19353	-1	23
DSGI01000012	19410	20183	1	24
DSGI01000012	20180	21772	1	25
DSGI01000012	21753	22814	1	26
DSGI01000012	22741	23892	-1	27
DSGI01000012	23893	25614	-1	28
DSGI01000012	25672	26313	1	29
DSGI01000012	26363	27031	1	30
DSGI01000012	27021	27389	1	31
DSGI01000012	27382	28647	-1	32
DSGI01000012	28677	29072	-1	33
DSGI01000012	29318	29665	-1	34
