Contig	Start	End	Strand	Pos
JAEXHX010000001	2	214	-1	1
JAEXHX010000001	388	954	1	2
JAEXHX010000001	976	1998	-1	3
JAEXHX010000001	2001	3098	-1	4
JAEXHX010000001	3082	4404	-1	5
JAEXHX010000001	4499	4747	1	6
JAEXHX010000002	61	1227	1	1
JAEXHX010000002	1675	2151	1	2
JAEXHX010000002	2326	3261	1	3
JAEXHX010000002	3266	3706	1	4
JAEXHX010000002	3710	4792	1	5
JAEXHX010000002	4779	5516	-1	6
JAEXHX010000002	5724	6338	1	7
JAEXHX010000002	6468	8378	1	8
JAEXHX010000002	8469	9488	1	9
JAEXHX010000002	9516	10544	1	10
JAEXHX010000002	10558	12345	-1	11
JAEXHX010000002	12349	13395	-1	12
JAEXHX010000002	13411	14217	-1	13
JAEXHX010000002	14221	15132	-1	14
JAEXHX010000002	15192	15749	-1	15
JAEXHX010000002	15884	17047	1	16
JAEXHX010000002	17051	17692	1	17
JAEXHX010000002	18025	18639	-1	18
JAEXHX010000002	18673	19179	-1	19
JAEXHX010000002	19209	19778	-1	20
JAEXHX010000002	19800	20471	-1	21
JAEXHX010000002	20533	21339	-1	22
JAEXHX010000002	21432	22250	-1	23
JAEXHX010000002	22333	23271	-1	24
JAEXHX010000002	23354	24052	-1	25
JAEXHX010000002	24055	24576	-1	26
JAEXHX010000002	24589	25182	-1	27
JAEXHX010000002	25334	26407	1	28
JAEXHX010000002	26547	26834	1	29
JAEXHX010000003	1	2043	1	1
JAEXHX010000003	2265	3533	1	2
JAEXHX010000003	3539	4240	1	3
JAEXHX010000003	4237	4590	-1	4
JAEXHX010000003	4751	5956	1	5
JAEXHX010000003	6119	9391	1	6
JAEXHX010000003	9401	11551	1	7
JAEXHX010000003	11564	12781	1	8
JAEXHX010000003	12798	13943	1	9
JAEXHX010000003	14329	14448	1	10
JAEXHX010000003	14467	14880	-1	11
JAEXHX010000003	14929	16155	-1	12
JAEXHX010000003	16382	17143	1	13
JAEXHX010000003	17146	17850	-1	14
JAEXHX010000003	17943	19781	1	15
JAEXHX010000003	19884	20903	-1	16
JAEXHX010000003	20915	21229	-1	17
JAEXHX010000003	21326	21748	-1	18
JAEXHX010000003	21785	22072	-1	19
JAEXHX010000003	22087	22659	-1	20
JAEXHX010000003	22728	23717	-1	21
JAEXHX010000003	23734	24303	-1	22
JAEXHX010000003	24407	25750	1	23
JAEXHX010000003	25747	26961	1	24
JAEXHX010000003	26972	27439	1	25
JAEXHX010000003	27509	27670	1	26
JAEXHX010000003	27736	28560	1	27
JAEXHX010000003	28557	29492	1	28
JAEXHX010000003	29497	29853	1	29
JAEXHX010000003	29864	30298	-1	30
JAEXHX010000003	30373	31539	1	31
JAEXHX010000003	31536	31970	-1	32
JAEXHX010000003	32103	33179	1	33
JAEXHX010000004	3	317	-1	1
JAEXHX010000004	534	743	1	2
JAEXHX010000004	785	2092	1	3
JAEXHX010000004	2095	3744	-1	4
JAEXHX010000004	3875	4027	-1	5
JAEXHX010000004	4477	4791	-1	6
JAEXHX010000004	5483	5800	1	7
JAEXHX010000004	6024	6398	1	8
JAEXHX010000004	6624	6734	1	9
JAEXHX010000005	155	481	1	1
JAEXHX010000005	465	1046	1	2
JAEXHX010000005	1128	1370	1	3
JAEXHX010000005	1365	1496	-1	4
JAEXHX010000005	1587	2114	-1	5
JAEXHX010000005	2172	3716	-1	6
JAEXHX010000005	3942	5033	1	7
JAEXHX010000005	5258	5875	-1	8
JAEXHX010000005	5909	6712	-1	9
JAEXHX010000006	2	988	1	1
JAEXHX010000006	991	2292	-1	2
JAEXHX010000006	2386	2661	1	3
JAEXHX010000006	2655	3158	-1	4
JAEXHX010000006	3439	3723	-1	5
JAEXHX010000006	3928	4842	-1	6
JAEXHX010000006	4845	5339	-1	7
JAEXHX010000006	5346	5867	-1	8
JAEXHX010000006	5953	6810	-1	9
JAEXHX010000006	6875	7444	1	10
JAEXHX010000006	7519	8460	-1	11
JAEXHX010000006	9283	10122	1	12
JAEXHX010000007	3	269	1	1
JAEXHX010000007	279	1355	1	2
JAEXHX010000007	1367	1969	1	3
JAEXHX010000007	2023	3276	1	4
JAEXHX010000007	3273	4139	-1	5
JAEXHX010000007	4139	5080	-1	6
JAEXHX010000007	5347	6552	1	7
JAEXHX010000007	6671	7069	1	8
