Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
BCNA01000001	BCNA01000001@30	998753	999028	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1004]	['1.70e-09']	[0.674]	[0.585]	NA	NA
BCNA01000002	BCNA01000002@5	266172	267104	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[248]	['3.70e-05']	[0.302]	[0.31]	NA	NA
BCNA01000001	BCNA01000001@18	571488	572225	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[579]	['5.60e-04']	[0.459]	[0.37]	NA	NA
BCNA01000001	BCNA01000001@41	1758888	1759604	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1775]	['2.10e-04']	[0.402]	[0.32]	NA	NA
BCNA01000002	BCNA01000002@2	88059	88412	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[94]	['1.50e-07']	[0.644]	[0.653]	NA	NA
BCNA01000001	BCNA01000001@6	146991	148061	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[156]	['2.00e-03']	[0.333]	[0.537]	NA	NA
BCNA01000001	BCNA01000001@12	433181	433582	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[448]	['6.60e-05']	[0.754]	[0.831]	NA	NA
BCNA01000003	BCNA01000003@3	77393	79138	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[53]	['1.30e-09']	[0.34]	[0.415]	NA	NA
BCNA01000001	BCNA01000001@28	843914	846664	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[866]	['1.30e-12']	[0.36]	[0.878]	-1	NA
BCNA01000001	BCNA01000001@10	346776	347138	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[362]	['8.10e-06']	[0.504]	[0.559]	NA	NA
BCNA01000001	BCNA01000001@46	2171074	2171445	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2215]	['3.10e-04']	[0.532]	[0.602]	NA	NA
BCNA01000003	BCNA01000003@13	353192	353956	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[330]	['5.00e-04']	[0.424]	[0.387]	NA	NA
BCNA01000001	BCNA01000001@44	1987611	1988048	False	0%	NA	III-D	3.0	['Csx25_0_CAS-III-D']	[2025]	['2.10e-03']	[0.74]	[0.431]	NA	NA
BCNA01000003	BCNA01000003@9	254237	254419	False	17%	NA	III-D	4.0	['Csm2gr11_5_CAS-III-D']	[241]	['7.10e-03']	[0.639]	[0.322]	-1	NA
BCNA01000002	BCNA01000002@1	15672	17736	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[11, 13]	['1.20e-08', '2.70e-12']	[0.463, 0.784]	[0.335, 0.89]	NA	NA
BCNA01000001	BCNA01000001@1	30293	31432	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[29]	['4.10e-04']	[0.411]	[0.553]	NA	NA
BCNA01000001	BCNA01000001@33	1152409	1152819	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1156]	['3.70e-10']	[0.562]	[0.585]	NA	NA
BCNA01000001	BCNA01000001@45	2100657	2102188	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[2143, 2144]	['6.50e-08', '3.50e-05']	[0.382, 0.494]	[0.32, 0.447]	NA	NA
BCNA01000003	BCNA01000003@7	241649	242038	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[224]	['3.20e-16']	[0.577]	[0.653]	NA	NA
BCNA01000001	BCNA01000001@13	455386	456111	False	20%	0%	I-B	4.0	['Cas5_7_CAS-I-B']	[469]	['8.00e-03']	[0.302]	[0.305]	-1	NA
BCNA01000001	BCNA01000001@55	2890644	2891057	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2971]	['8.50e-05']	[0.471]	[0.317]	NA	NA
BCNA01000002	BCNA01000002@3	192408	193535	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[180]	['2.00e-04']	[0.319]	[0.423]	NA	NA
BCNA01000001	BCNA01000001@2	42685	43626	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[47]	['5.30e-08']	[0.322]	[0.306]	NA	NA
