Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
JAVZWL010000001	JAVZWL010000001@12	547450	548295	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[585]	['1.50e-06']	[0.631]	[0.465]	NA	NA
JAVZWL010000001	JAVZWL010000001@6	210936	211352	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[247]	['6.40e-08']	[0.46]	[0.318]	NA	NA
JAVZWL010000001	JAVZWL010000001@27	890098	890502	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[936]	['5.00e-03']	[0.533]	[0.534]	NA	NA
JAVZWL010000001	JAVZWL010000001@45	1652080	1652826	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1784]	['1.90e-08']	[0.349]	[0.349]	NA	NA
JAVZWL010000001	JAVZWL010000001@3	87268	89701	False	0%	NA	III-B	2.0	['TPR_1_CAS-III-B', 'AbiEii_0_CAS-III']	[111, 113]	['1.60e-04', '8.80e-06']	[0.688, 0.551]	[0.326, 0.437]	NA	NA
JAVZWL010000001	JAVZWL010000001@1	13456	14052	False	20%	NA	III-A	4.0	['Csm2gr11_0_CAS-III-A']	[19]	['2.00e-03']	[0.568]	[0.779]	-1	NA
JAVZWL010000001	JAVZWL010000001@43	1499620	1500075	False	14%	0%	I-A	4.0	['Csa5gr11_2_CAS-I-A']	[1610]	['4.70e-03']	[0.618]	[0.545]	-1	NA
JAVZWL010000001	JAVZWL010000001@14	569212	576251	False	20%	0%	I-B	4.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III', 'Cas8b3_1_CAS-I-B']	[607, 608, 612]	['2.00e-05', '2.60e-03', '1.70e-03']	[0.373, 0.398, 0.519]	[0.384, 0.437, 0.526]	1	NA
JAVZWL010000001	JAVZWL010000001@29	962810	963277	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1021]	['5.60e-07']	[0.429]	[0.312]	NA	NA
JAVZWL010000001	JAVZWL010000001@42	1483295	1483573	False	0%	33%	I-A	2.0	['Cas2_8_CAS-I-II-III-IV-V-VI']	[1587]	['1.20e-21']	[0.925]	[0.851]	NA	-1
JAVZWL010000001	JAVZWL010000001@10	378107	379264	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[426]	['7.30e-08']	[0.391]	[0.797]	NA	NA
JAVZWL010000001	JAVZWL010000001@46	1668790	1671398	False	0%	33%	II-A	3.0	['AbiEii_0_CAS-III', 'Csn2_7_CAS-II-A']	[1810, 1811]	['7.70e-06', '5.90e-03']	[0.578, 0.348]	[0.915, 0.435]	NA	-1
JAVZWL010000001	JAVZWL010000001@25	785605	786522	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[819]	['1.40e-04']	[0.464]	[0.514]	NA	NA
JAVZWL010000001	JAVZWL010000001@40	1456308	1457411	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1553]	['3.00e-06']	[0.448]	[0.37]	NA	NA
JAVZWL010000001	JAVZWL010000001@48	1736760	1739381	False	14%	0%	I-A	1.0	['Cas3_0_I']	[1886]	['2.00e-17']	[0.389]	[0.922]	-1	NA
JAVZWL010000001	JAVZWL010000001@41	1466042	1466467	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[1567]	['1.00e-07']	[0.739]	[0.525]	NA	NA
JAVZWL010000001	JAVZWL010000001@22	699979	700614	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[723]	['1.70e-05']	[0.363]	[0.353]	NA	NA
JAVZWL010000002	JAVZWL010000002@2	225719	230271	False	0%	0%	II-C	3.0	['Csn2_0_CAS-II-C', 'Csf4_0_IVA']	[239, 243]	['6.10e-03', '1.70e-14']	[0.578, 0.491]	[0.345, 0.426]	NA	NA
JAVZWL010000001	JAVZWL010000001@35	1281303	1281971	False	0%	33%	I-A	1.0	['Cas4_0_I-II']	[1359]	['1.10e-10']	[0.839]	[0.928]	NA	1
JAVZWL010000001	JAVZWL010000001@7	218991	219413	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[260]	['1.90e-03']	[0.496]	[0.466]	NA	NA
